request_index,query_id,query_label,query_cluster,gold_anchor_id,gold_anchor_label,gold_cluster,gold_anchor_available_in_cache,top1_retrieved_anchor_id,retrieved_anchor_id,retrieved_anchor_label,retrieved_cluster,top1_is_gold_anchor,topk_contains_gold_anchor,retrieved_is_same_cluster_as_gold,retrieved_is_different_cluster_from_gold,gold_pair_label,retrieved_pair_label,score_gold_anchor,score_retrieved_anchor,threshold,accepted_gold_anchor,accepted_retrieved_anchor,served_hit,served_is_tp,served_is_fp,served_unjudged,reason_if_unjudged
1,193825,0,121,167316,1,121,True,193824,193824,0,121,False,False,True,False,H0,H0,0.00664824154227972,0.012356335297226906,0.03747309744358063,False,False,False,False,False,False,
2,87607,0,750,89384,0,750,True,87607,87607,0,750,False,True,True,False,H0,H0,0.02323807217180729,0.0886630117893219,0.03747309744358063,False,True,True,False,False,True,self_pair
3,19186,0,960,22060,1,960,True,19186,19186,0,960,False,True,True,False,H0,H0,0.01594984531402588,0.028715401887893677,0.03747309744358063,False,False,False,False,False,False,
4,5402,0,951,5424,0,951,False,146682,146682,0,895,False,False,False,True,H0,H0,0.0335884764790535,0.02072226069867611,0.03747309744358063,False,False,False,False,False,False,
5,94077,1,1096,3995,0,1096,True,94077,94077,1,1096,False,True,True,False,H0,H1,0.014424026943743229,0.06622554361820221,0.03747309744358063,False,True,True,False,False,True,self_pair
6,99935,0,527,99935,0,527,False,199435,199435,0,787,False,False,False,True,H0,H0,0.052400220185518265,0.011091846041381359,0.03747309744358063,True,False,False,False,False,False,
7,176652,1,932,125453,0,932,True,176652,176652,1,932,False,True,True,False,H0,H1,0.013924156315624714,0.07197199016809464,0.03747309744358063,False,True,True,False,False,True,self_pair
8,191860,0,821,61597,0,821,True,191860,191860,0,821,False,True,True,False,H0,H0,0.008691012859344482,0.0365753211081028,0.03747309744358063,False,False,False,False,False,False,
9,144967,0,374,7665,0,374,True,93923,93923,0,374,False,True,True,False,H0,H0,0.01012507639825344,0.02691500075161457,0.03747309744358063,False,False,False,False,False,False,
10,145096,1,150,149726,0,150,True,145096,145096,1,150,False,False,True,False,H0,H1,0.013940474949777126,0.06144173815846443,0.03747309744358063,False,True,True,False,False,True,self_pair
