request_index,query_id,query_label,query_cluster,gold_anchor_id,gold_anchor_label,gold_cluster,gold_anchor_available_in_cache,top1_retrieved_anchor_id,retrieved_anchor_id,retrieved_anchor_label,retrieved_cluster,top1_is_gold_anchor,topk_contains_gold_anchor,retrieved_is_same_cluster_as_gold,retrieved_is_different_cluster_from_gold,gold_pair_label,retrieved_pair_label,score_gold_anchor,score_retrieved_anchor,threshold,accepted_gold_anchor,accepted_retrieved_anchor,served_hit,served_is_tp,served_is_fp,served_unjudged,reason_if_unjudged
1,193825,0,121,167316,1,121,False,,,,,False,False,False,False,H0,NONE,0.6612906946618312,,,False,False,False,False,False,False,
2,87607,0,750,89384,0,750,False,193825,193825,0,121,False,False,False,True,H0,H0,0.7952559957175438,0.3759910541316789,,False,False,False,False,False,False,
3,19186,0,960,22060,1,960,False,87607,87607,0,750,False,False,False,True,H0,H0,0.7182790002003454,0.43576151119431217,,False,False,False,False,False,False,
4,5402,0,951,5424,0,951,False,19186,19186,0,960,False,False,False,True,H0,H0,0.6377007945367522,0.4855550638256684,,False,False,False,False,False,False,
5,94077,1,1096,3995,0,1096,False,87607,87607,0,750,False,False,False,True,H0,H0,0.7951741072510691,0.4645089422211204,,False,False,False,False,False,False,
6,99935,0,527,99935,0,527,False,19186,19186,0,960,False,False,False,True,H0,H0,1.0000000000000002,0.4142597827058269,,False,False,False,False,False,False,
7,176652,1,932,125453,0,932,False,94077,94077,1,1096,False,False,False,True,H0,H0,0.724226968832529,0.6131077891111063,,False,False,False,False,False,False,
8,191860,0,821,61597,0,821,False,94077,94077,1,1096,False,False,False,True,H0,H0,0.7749085313068768,0.6219900183520645,,False,False,False,False,False,False,
9,144967,0,374,7665,0,374,False,94077,94077,1,1096,False,False,False,True,H0,H0,0.8591325216650542,0.5645332986822982,,False,False,False,False,False,False,
10,145096,1,150,149726,0,150,False,191860,191860,0,821,False,False,False,True,H0,H0,0.5926446827458621,0.5005693316601161,,False,False,False,False,False,False,
11,92479,0,917,92479,0,917,False,94077,94077,1,1096,False,False,False,True,H0,H0,1.0,0.595050217055402,,False,False,False,False,False,False,
12,6865,0,746,138527,0,746,False,87607,87607,0,750,False,False,False,True,H0,H0,0.8313739544348862,0.6071202964772633,,False,False,False,False,False,False,
13,15609,0,677,15609,0,677,False,191860,191860,0,821,False,False,False,True,H0,H0,1.0000000000000002,0.5168577959620078,,False,False,False,False,False,False,
14,62318,0,127,117769,0,127,False,94077,94077,1,1096,False,False,False,True,H0,H0,0.7776714396800862,0.6460713048112677,,False,False,False,False,False,False,
15,67818,0,509,67818,0,509,False,15609,15609,0,677,False,False,False,True,H0,H0,1.0,0.4426209165040452,,False,False,False,False,False,False,
16,70669,1,718,133710,1,718,False,191860,191860,0,821,False,False,False,True,H1,H0,0.6533451395865641,0.5704418020221088,,False,False,False,False,False,False,
